numeracion;denominacion;precio;tipo;medida;estado
RS000008;DOOR CONTACTOR FINGER;2,00;Orona;X;1
RS000009;DOOR TRIANGULAR BELT;9,00;Orona;X;1
RS000010;DOOR BELT;9,00;Orona;X;1
RS000011;DOOR CHANGE-SPEED SWITCH;1,00;Orona;X;1
RS000012;LANDING DOOR LOCK SWINTCH;7,00;Orona;X;1
RS000013;BISTABLE SWITCH;9,00;Orona;X;1
RS000014;DOOR ZONE SWITCH;17,00;Orona;X;1
RS000015;SAFETY SWITCH UKS;5,00;Orona;X;1
RS000016;LOCK SWITCH;9,00;Orona;X;1
RS000017;DOOR GUIDE SHOE;2,00;Orona;X;1
RS000018;POSITIONENG BOLT;2,00;Orona;X;1
RS000019;CONTROLLER PANASONIC;511,00;Orona;X;1
RS000020;DOOR CONTROLLER NBSL;426,00;Orona;X;1
RS000021;DOOR CONTRSOLLER MONARCH NICE;256,00;Orona;X;1
RS000022;DOOR MOTOR;256,00;Orona;X;1
RS000023;DOOR SKATE;136,00;Orona;X;1
RS000024;ENCODER 1024;341,00;Orona;X;1
RS000025;HEIDENHAIN ENCODER;170,00;Orona;X;1
RS000026;CAR TOP CONTROL BOARD ;170,00;Orona;X;1
RS000027;CAR CONTROL PRINTED BOARD ;341,00;Orona;X;1
RS000028;DISPLAY PRINTED BOARD;341,00;Orona;X;1
RS000029;PUSH BUTTON;5,00;Orona;X;1
RS000030;WITH INTERPHONE;68,00;Orona;X;1
RS000031;RELAY ;5,00;Orona;X;1
RS000032;STABLE VOLTAGE POWER;51,00;Orona;X;1
RS000033;RESISTOR;43,00;Orona;X;1
RS000034;DIODE;9,00;Orona;X;1
RS000035;RESISTENCIA-CAPACITANCE;3,00;Orona;X;1
RS000036;WECO LIGHT CURTAIN;102,00;Orona;X;1
RS000037;HORN;3,00;Orona;X;1
RS000038;TRANSFORMER;511,00;Orona;X;1
RS000039;GUIDE SHOES;4,00;Orona;X;1
RS000040;CAR OIL TANK;3,00;Orona;X;1
RS000041;OIL TANK;3,00;Orona;X;1
RS000042;FB-9B-330;31,00;Orona;X;1
RS000043;FB-1042B-J;43,00;Orona;X;1
RS000044;FB-9B-2;43,00;Orona;X;1
RM000001;RFID CARD (TARJETA) TKB;1,00;Orona;X;1
RM000002;ACCESS CONTROL FA(HUELLA DI);96,00;Orona;X;1
RM000003;ACCESS CONTROL H2D (TARJETA);21,00;Orona;X;1
RCH00001;POWERLIFTER 200 AIR FREIGHT;4721,00;Orona;X;1
RCH00002;RAIL ALIGNMENT GAUGE;217,00;Orona;X;1
RE000001;CONTROL DE VELOCIDAD THYSS;1373,00;Orona;X;1
RE000002;RELE DE SEGURIDAD THYSSEN;177,00;Orona;X;1
RE000003;RECTIFICADOR FRENO THYSSEN;676,00;Orona;X;1
RN000001;TCU 10 3G WIFI SIN SIM;891,00;Orona;X;1
RN000002;DETECTOR DMR-DR3;41,00;Orona;X;1
RN000003;ADV PLACA EXTERNA V3;99,00;Orona;X;1
RN000004;SPEAKER 1S;32,00;Orona;X;1
RN000005;IMAN PARA KIT AUTONOMO;6,00;Orona;X;1
CLV00001;GUARDAMOTOR G.E GPS1BSAG 1,6 - 2,5 AMP.101217;69,00;CLV;X;1
CLV00002;CONTACTOR GE 16KW 20HP110V;80,00;CLV;X;1
CLV00003;CONTACTOR CL25A300T5 11KW;51,00;CLV;X;1
CLV00004;CONTACTOR G,E CL02A310T3 7,5KW,10HP, 110V, 1NO;50,00;CLV;X;1
CLV00005;CONTACTO AUX.G.E BCLF01 1NC 104701 CL FRONTAL;5,00;CLV;X;1
CLV00006;CONTACTO AUX.G.E BCLF10 1NO 104700 CL FRONTAL;5,00;CLV;X;1
CLV00007;CONTACTOR 18.5 KW/380 VAC 110;103,00;CLV;X;1
CLV00008;AUXILIAR LATERAL 1NA - 1NC;18,00;CLV;X;1
CLV00009;AUXILIAR LATERAL 2NA - 2NC;18,00;CLV;X;1
CLV00010;TERMICO DIM G.E. 3*63 AMP.DE 6K 674659;61,00;CLV;X;1
CLV00011;TERMICO DIM G.E. 1*63 AMP.DE 6K 674611;14,00;CLV;X;1
CLV00012;INT. FIN DE LINEA YONKS AZ-8107;15,00;CLV;X;1
CLV00013;INT. FIN DE LINEA YONKS MEA-9124-5A;25,00;CLV;X;1
CLV00014;INT. FIN DE LINEA YONKS AZ-8111;15,00;CLV;X;1
CLV00015;BOTONERA YONKS D EMERGENCIA LMB-2511 C/RESET;5,00;CLV;X;1
CLV00016;MICROINTERRUPTOR YONKS V-15-1C25;2,00;CLV;X;1
CLV00017;RELE SIEMENS 8 PINES PLANO 24V.DC REF: PT270024;9,00;CLV;X;1
CLV00018;MONOBLOCK P/BOTONERA P9 B01VN 1NC REF. 187001;6,00;CLV;X;1
CLV00019;INTERRUPTOR DIFERENCIAL G.E 4 X 25 AMP. 300MA;101,00;CLV;X;1
CLV00020;INT.DIFERENCIAL G.E 2 X 25 AMP.30MA RED LINE 607125;64,00;CLV;X;1
CLV00021;INT. DIFERENCIAL G.E 4 X 40 AMP. 300MA RED LINE REF.:606225;92,00;CLV;X;1
CLV00022;INTERRUPTOR DIFERENCIAL RCCB / BDC AC 2 X 40 AMP. 30MA REF.: 607128;72,00;CLV;X;1
CLV00023;TERMICO DIN G.E. 1 X 40 AMP. DE 6K. 674609;11,00;CLV;X;1
CLV00024;TERMICO DIN G.E. 3 X 40 AMP. DE 6K. 674657;31,00;CLV;X;1
CLV00025;RELE SIEMENS 8 PINES PLANO 220V.AC REF.270730;10,00;CLV;X;1
CLV00026;BASE SIEMENS 8 PINES PLANO LZS PT.78720;6,00;CLV;X;1
CLV00027;CONTACTOR DE POTENCIA DE 15KW  DILM32  BOB.  110 V;73,00;CLV;X;1
CLV00028;BLOQUE DE CONTACTOS AUXILIARES NC LATERAL 2NA/2NC;20,00;CLV;X;1
CLV00029;BLOQUE DE CONTACTOS AUXILIARES FRONTAL  4NA;18,00;CLV;X;1
CLV00030;CONTACTOR G.E. CL06A311M3 22KW. 30HP. 110V. 109582;145,00;CLV;X;1
CLV00031;BOBINA GE. LB 1A-3-110W 11kw;29,00;CLV;X;1
CLV00032;CONTACTOR SIRIUS 32 A 220VCA S2;130,00;CLV;X;1
CLV00033;BOBINA G.E LB3A5-220V,50/60 HZ.16-18.5KW;9,00;CLV;X;1
CLV00034;CONTACTO AUX.G.E.BCLL11 1NO+1NC PARA CONTACTOR LATERAL REF.104707;10,00;CLV;X;1
CLV00035;CONTACTOR 100V CL08A 311M3 37Kw.(80AMP) 50 HP G.E.;246,00;CLV;X;1
CLV00036;CONTACTOR 110V CL07A 311M3 30KW.40HP.;184,00;CLV;X;1
CLV00037;CONTACTOR SIEMENS 7,5 KW, 110V,50/60HZ, P/MOTOR 17 AMP.;47,00;CLV;X;1
CLV00038;CONTACTOR SIEMENS 11 KW, 110V,50/60HZ, P/MOTOR 25 AMP.;64,00;CLV;X;1
CLV00039;CONTACTOR SIEMENS 15 KW, 110V,50/60HZ, P/MOTOR 32 AMP.;88,00;CLV;X;1
CLV00040;CONTACTOR SIEMENS 18,5 KW, 110V,50/60HZ, P/MOTOR 40 AMP.;99,00;CLV;X;1
CLV00041;CONTACTO AUX. SIEMENS 3RH1921-1DA11 LATERAL  1NO/1NC;10,00;CLV;X;1
CLV00042;CONTACTO AUX. SIEMENS 3RH19-21 - 1FA 22 FRONTAL 2NA+2NC;15,00;CLV;X;1
CLV00043;CONTACTOR DE 7,5KW/17A/220VAC,1NA+1NC;53,00;CLV;X;1
CLV00044;CONTACTOR AUXILAR LATERAL,1NA+1NC,P/3R;12,00;CLV;X;1
CLV00045;SENSOR FOTOELÉCTRICO BUP-30S BLT;100,00;CLV;X;1
CLV00046;VENTILADOR DE CABINA ESPECIAL;14,00;CLV;X;1
CLV00047;MANGUERA LED 2D  220V P/METRO;5,00;CLV;X;1
CLV00048;ENCHUFE PARA MANGUERA LED;5,00;CLV;X;1
IV000001;ARRANCADORES PHILIPS DE 20W;1,00;IV;X;1
IV000002;ARRANCADORES PHILIPS DE 40W;2,00;IV;X;1
IV000003;ARRANCADORES PHILIPS 18W;1,00;IV;X;1
IV000004;ABRAZADERAS PARA TUBOS;1,00;IV;X;1
IV000005;SPOT PARA FOCO LED O DICROICO;7,00;IV;X;1
IV000006;DICROICO (HALOGENO) 12V GU-10;2,00;IV;X;1
IV000007;DICROICO (HALOGENO) DE 12VB-P;3,00;IV;X;1
IV000008;DICROICO (HALOGENO) DE 200VB-P;7,00;IV;X;1
IV000009;DICROICO (HALOGENO)200V GU-10;3,00;IV;X;1
IV000010;DICROICO LED 220W;7,00;IV;X;1
IV000011;FOCO ESPIRAL DE 15W;1,00;IV;X;1
IV000012;FOCO NEON LED 8 WTS;13,00;IV;X;1
IV000013;FOCO NEON OSRAM DE 15W;2,00;IV;X;1
IV000014;FOCO NEON OSRAM DE 18 W;2,00;IV;X;1
IV000015;FOCO NEON OSRAM DE 20W;3,00;IV;X;1
IV000016;FOCO NEON OSRAM DE 36 W;4,00;IV;X;1
IV000017;FOCO NEON OSRAM DE 40 W;5,00;IV;X;1
IV000018;FOCO NEON OSRAM DE 8 W;2,00;IV;X;1
IV000019;FOCOS NEON LED 18 W;21,00;IV;X;1
IV000020;LED LUZ BLANCA B-PIN;7,00;IV;X;1
IV000021;LED LUZ BLANCA GU-10;7,00;IV;X;1
IV000022;LED LUZ CALIDA B-PIN;7,00;IV;X;1
IV000023;LED LUZ CALIDA GU-10;7,00;IV;X;1
IV000024;PORTA ARRANCADOR;9,00;IV;X;1
IV000025;REACTANCIAS DE 10 W;2,00;IV;X;1
IV000026;REACTANCIAS DE 18 W;5,00;IV;X;1
IV000027;REACTANCIAS DE 20W;6,00;IV;X;1
IV000028;REACTANCIAS DE 40W;4,00;IV;X;1
IV000029;REACTANCIAS DE 50W;5,00;IV;X;1
IV000030;REACTANCIAS DE 8 W;3,00;IV;X;1
IV000031;SOQUETE  PARA GU-10;2,00;IV;X;1
IV000032;SOQUETE PARA B-PIN;1,00;IV;X;1
IV000033;SOQUETE PARA FOCO LED B-PIN;1,00;IV;X;1
IV000034;ZOCALO PARA ARRANCADORES;1,00;IV;X;1
IV000035;ZOCALO PARA DICROICO DE 12 V.;1,00;IV;X;1
IV000036;ZOCALO PARA DICROICOS B-PIN;1,00;IV;X;1
IV000037;ZOCALOS PARA TUBO FLUORESCENTE;1,00;IV;X;1
IV000038;SEGURO CLIP PARA PUERTA;4,00;IV;X;1
IV000039;RETEN SIN FIN DE MOTOR;17,00;IV;X;1
IV000040;MICRO INTERRUPTORES;1,00;IV;X;1
IV000041;CINTA LED EN BLANCO;4,00;IV;X;1
IV000042;COJUNTO SIRENA DE 12 VOLTS. (FOTO ADJUNTA, ROJA);22,00;IV;X;1
IV000043;BATERIA 12 V / 4 AMP;37,00;IV;X;1
IV000044;TRANFORMADOR AC/DC - 220 V IMPUT/12 V OUPUT;9,00;IV;X;1
IV000045;INTERRUPTOR TIPO TIMBRE COLOR ROJO;4,00;IV;X;1
IV000046;CABLE DE 2 SEÑALES 0V (CABLE DE SONIDO BIPOLAR);3,00;IV;X;1
IV000047;TURBINA 2800 RPM 220V;346,00;IV;X;1
IV000048;CONDUCTOS DE AIRE 1PULG.;6,00;IV;X;1
IV000049;PVC 500 ml;15,00;IV;X;1
IV000050;POLICARBONATO PARA TECHO COLOR LECHOZO;10,00;IV;X;1
IV000051;TARJETA  ELECTRONICA DE APROXIMACION;10,00;IV;X;1
IV000052;FOCO DE 100W;1,00;IV;X;1
IV000053;FOCO DICROICO DE 3W GU-10;7,00;IV;X;1
IV000054;CABLE DE 3 HILOS;2,00;IV;X;1
IV000055;CONECTOR BUS 3 PINES;4,00;IV;X;1
IV000056;FUSIBLE DE 4 AMP.;1,00;IV;X;1
IV000057;CABLE EPROFLEX 500V 2 X 1 MMº;1,00;IV;X;1
IV000058;BOBINA 3RT1034 110VAC SIEMENS;25,00;IV;X;1
IV000059;ENCLAVAMIENTO MECÁNICO S0/S2/S3 SIEMENS;95,00;IV;X;1
IV000060;TARJETA SD PARA SINTESIS DE VOZ;22,00;IV;X;1
IV000061;BOTONERA EMERGENCIA SCHNEIDER T/HONGO 1NC 40MMC/ GIROPLADT XB5AS8445;36,00;IV;X;1
IV000062;TRANSFORMADOR PARA PANTALLAS LED;25,00;IV;X;1
IV000063;DISYUNTOR DE 6 AMPERES;10,00;IV;X;1
IV000064;CABLE GALVANIZADO DE 6MM;4,00;IV;X;1
IV000065;RODILLOS PARA ESCALERAS;25,00;IV;X;1
IV000066;PORTA ARRANCADOR;2,00;IV;X;1
IV000067;BATERIA YUASA NP7,2-12 12V 7,2 AA (ups);42,00;IV;X;1
IV000068;CABLE UTP CATEGORIA 5;1,00;IV;X;1
IV000069;TARJETA DE  CONTROL MULTIPISO PARA TARJETERO;40,00;IV;X;1
IV000070;CANOA DE 6,60CM;13,00;IV;X;1
IV000071;CANOA DE 9,90CM;17,00;IV;X;1
IV000072;SUJETACABLES 1/2 PARA CABLE DE 13 (FC 6102025- 1;1,00;IV;X;1
IV000073;TESADOR DE CADENA;7,00;IV;X;1
IV000074;CABLE ENGOMADO 1 PAR # 14;2,00;IV;X;1
IV000075;GUIAS DE ALUMINIO 6*7*6MM PARA PASAMANO;11,00;IV;X;1
IV000076;PERNO ROSCA TOTAL 10*160MM PARA PASAMANO;2,00;IV;X;1
IV000077;ARANDELA DE PRESION NEGRO -M10 PARA PASAMANO;1,00;IV;X;1
IV000078;TUERCA HEX MM CLASE 10-10-1.50MM PARA PASAMANO;1,00;IV;X;1
IV000079;RODILLOS PARA TESADOR DE PASAMANOS HY;32,00;IV;X;1
IV000080;ESLABON PARA ESCALERA MECANICA HY;66,00;IV;X;1
IV000081;RELE PROTECCCION FALLA DE FASE DPF 380V 60HC;45,00;IV;X;1
IV000082;SILICONA EN KG.;14,00;IV;X;1
IV000083;ACEITE TELLUS 100;8,00;IV;X;1
IV000084;ACEITE TELLUS 68;8,00;IV;X;1
IV000085;OMALA S2 G220 (aceite de motor con sala de maquinas)( POR AUMENTO);9,00;IV;X;1
IV000087;OMALA S2 G220 (aceite de motor con sala de maquinas)( CAMBIO TOTAL);10,00;IV;X;1
IV000088;RELEY DE 220V 8PINES;30,00;IV;X;1
IV000089;ABRASADERAS DE 4 PULGADAS;3,00;IV;X;1
IV000090;PANEL LED 30X120 LUZ BLANCA O CALIDA;70,00;IV;X;1
IV000091;FUSIBLE DE 40 AMP. P_Variador;2,00;IV;X;1
IV000092;FOCO NEON LED 9 W;10,00;IV;X;1
IV000093;TELLUS S2 M 46;6,00;IV;X;1
IV000094;TIMBRE;9,00;IV;X;1
IV000095;RAMPLUS  PARA HORMIGÓN DE 12MM;1,00;IV;X;1
IV000096;RAMPLUS  PARA HORMIGÓN DE 10MM;1,00;IV;X;1
IV000097;RAMPLUS  PARA HORMIGÓN DE 8 MM;1,00;IV;X;1
IV000098;RUEDA BOLAS RIGIDO (MM-6213-27-S SKF -22480;86,00;IV;X;1
IV000099;CANOA LED DE 9WTS  DE 57 CM;9,00;IV;X;1
IV000100;FUSIBLE FERRULE 10X38, 32 A;8,00;IV;X;1
IV000101;ESPEJO 191.6 X 34.7CM ESPESOR 3MM;43,00;IV;X;1
IV000102;RODAMIENTO 6204-2RS-NTN RIGIDO MM -- 15034;7,00;IV;X;1
IV000103;PANEL LED 600 X 600 56W;70,00;IV;X;1
IV000104;3 FASES+NEUTRO DE25A  SENSIBILIDAD DE 300MA;65,00;IV;X;1
IV000105;4 FASES+NEUTRO DE25A CURVA TIPO  C;23,00;IV;X;1
IV000106;1 FASE+NEUTRO DE 16A SENSIBILIDAD DE 30MA;6,00;IV;X;1
IV000107;2 FASE+NEUTRO DE 16A CURVA TIPO C;62,00;IV;X;1
IV000108;2 POLOS+TIERRA  MINIMO DE 10A;13,00;IV;X;1
IV000109;1 FASE+NEUTRO  DE 16A CURVA TIPO C;13,00;IV;X;1
IV000110;1 FASE DE 16A CURVA TIPO C;6,00;IV;X;1
IV000111;1 FASE  DE 16A CURVA TIPO C;6,00;IV;X;1
IV000112;PULSADOR COLOR VERDE TIPO 1NA;13,00;IV;X;1
IV000113;PULSADOR ROJO TIPO HONGO 40MM 1NC;28,00;IV;X;1
IV000114;VENTILADOR DE CABINA MOD 360;35,00;IV;X;1
IV000115;VENTILADOR DE CABINA MOD 270;27,00;IV;X;1
IV000116;DECORATIVO PARA TECHO BLT;16,00;IV;X;1
IV000117;O-RING  3,5 X  108;6,00;IV;X;1
IV000118;CAJA BLANCA ELECTRICA;15,00;IV;X;1
IV000119;RODAMIENTO BOLAS RIGIDAS 6206ZZC3 NSK68;19,00;IV;X;1
IV000120;RODAMINETO BOLA RIGIDA 6205ZZC3;15,00;IV;X;1
IV000121;RODAMIENTO CHCY;90,00;IV;X;1
IV000122;RODAMIENTO 6203DOUC3;12,00;IV;X;1
IV000123;PISO PAVIFLE 2mm;19,00;IV;X;1
IV000124;CABLE CAT 6 UPP MARCA 3M EVOLUTION  DE 24AWG;1,00;IV;X;1
IV000125;CONECTORES RJ-45 DE RED 8 PINES;1,00;IV;X;1
IV000126;RODAMIENTO BOLAS RIGIDAS 6206ZZC3 NSK68;20,00;IV;X;1
IV000127;RODAMIENTO BOLAS RIGIDAS 6205ZZC3;15,00;IV;X;1
IV000128;RODAMIENTO 6203DOUC3;12,00;IV;X;1
IV000129;RODAMIENTO CHCY;90,00;IV;X;1
IV000130;PLANCHA INOX DE 2MM 1500X500;731,00;IV;X;1
IV000131;RODAMIENTO 62202-2RS-FB;5,00;IV;X;1
IV000132;CONECTORES Y CABLES PARA CONEXIÓN DE MULTIMEDIA;30,00;IV;X;1
IV000133;RUEDA DE SEGURIDAD DE LIMITADOR DE VELOCIDAD;15,00;IV;X;1
IV000134;RELEY DE 12V;5,00;IV;X;1
IV000135;FOCO 12W;2,00;IV;X;1
IV000136;VENTILADOR ELECTRICO 50/60 HZ 0.14/0.10A;21,00;IV;X;1
IV000137;RODAMIENTO BOLAS RÍGIDOS 6211DDUC3E-NSK - 18777 / 55.00X100.00X21.00;48,00;IV;X;1
IV000138;SELLADOR LOCTITE 640 6 ML;10,00;IV;X;1
IV000139;KIT DE MUSICA AMBIENTE;200,00;IV;X;1
IV000140;KIT DE ALARMA A PORTERIA;220,00;IV;X;1
IV000141;RODAMIENTO UCE210 HY;53,00;IV;X;1
IV000142;SOPORTE TOPE DE PASAMANOS ARCA I;8,00;IV;X;1
IV000143;SILICONA NEGRA EN TUBO;6,00;IV;X;1
IV000144;REPARACION DE TESADOR DE PASAMANOS;51,00;IV;X;1
IV000145;RUEDAS DENTADAS (PIÑON) PHS 80-1BH18;82,00;IV;X;1
IV000146;CABLE CORDON # 12  X M.;1,00;IV;X;1
IV000147;SOQUETE TIPO PLATO;2,00;IV;X;1
IV000148;CABLE CONTROL TOP 12x1.5MM X METRO  CL;7,00;IV;X;1
IV000149;RELE FALTA FASE 380V TRIFASICO;110,00;IV;X;1
IV000150;DETECTOR DE FASE TRIFASICA 380 V CON NEUTRO;35,00;IV;X;1
IV000151;PISO VINIL ALTO TRAFICO;30,00;IV;X;1
IV000152;VENTILADOR CENTRIFUGO CONDUCTO DIAMETRO 12 CM 35WATTS 2400 RPM;120,00;IV;X;1
IV000153;CABLE 2*1,5MM;3,00;IV;X;1
IV000154;CENTRAL CPU224 FUENTE 24VDC 6ES7214-1AD23-0XBO SIMATIC;581,00;IV;X;1
IV000155;SOQUET;1,00;IV;X;1
IV000156;ACRILICO PARA  TECHO ASCENSOR;40,00;IV;X;1
IV000157;CABLE ACERO BLT 8X19 AFN 10 MM. C/L  P/M;7,00;IV;X;1
IV000158;SIRENA 220V;65,00;IV;X;1
IV000159;ZUMBADOR 220V;50,00;IV;X;1
IV000160;RELAY BOBINA 6VDC AUXILIAR NO;40,00;IV;X;1
IV000161;SHINE PLUS;14,00;IV;X;1
IV000162;TUBO LED CANOA 120CM 18W;12,00;IV;X;1
IV000163;BOLAS RIGIDOS(MM) 6204-22-SKF=22403;29,00;IV;X;1
IV000164;RESORTE PARA LLAVIN;1,00;IV;X;1
IV000165;RETEN  BAU5x2;12,00;IV;X;1
IV000166;SELLADOR;20,00;IV;X;1
IV000167;ORING 4 x 85;6,00;IV;X;1
IV000168;ORING 249;6,00;IV;X;1
IV000169;ORING 244;5,00;IV;X;1
IV000170;ORING 234;3,00;IV;X;1
IV000171;RESORTE PARA MORDASA ARCA II;8,00;IV;X;1
IV000172;RODAMIENTO 35.00x80.00x34.90;260,00;IV;X;1
IV000173;SPOT NIQUEL MAS DICROICO LED 7W;12,00;IV;X;1
IV000174;DESTORCEDOR GALVANIZADO 116060 5/16;13,00;IV;X;1
IV000175;INTERRUPTOR FINAL DE LÍNEA C/L;45,00;IV;X;1
IV000176;MANGUERA HIDRAULICA 4800Psi 330Bar L=4000;154,00;IV;X;1
IV000177;CABLE FLEX 90ºC 1KV 2 X 2,5 MM2;2,00;IV;X;1
IV000178;BALIZA DE SEÑALIZ ROTAT CSC LTE-1181R 220VAC ROJO;38,00;IV;X;1
IV000179;CABLECANAL (BxA) 20X12MM 2MTS.BLANCO C/ADHES. SE DEXSON DXN10051;4,00;IV;X;1
IV000180;RELE RELEQUICK RMSL C/LED 11 PIN 3 CONT 24VDC (ALTERNATIVA);19,00;IV;X;1
IV000181;POLEA DE 58 CM DE DIAMETRO;1092,00;IV;X;1
IV000182;POLEA 46 CM DE DIAMETRO;735,00;IV;X;1
IV000183;TOPE AMORTIGUADOR;200,00;IV;X;1
IV000184;RELE RELEQUICK C-LED 8PINES 2CONT 230VAC;17,00;IV;X;1
IV000185;BASE PARA 8 PINES TIPO DIN CSC-SSS;14,00;IV;X;1
IV000186;Retén 75-9.5-10  D 9.5;13,00;IV;X;1
IV000187;Retén 40-70-10  D 7;13,00;IV;X;1
IV000188;ORING DIÁMETRO 9.4;8,00;IV;X;1
IV000189;ORING DIÁMETRO 8.3;7,00;IV;X;1
IV000190;ORING DIÁMETRO 11;9,00;IV;X;1
IV000191;ORING DIÁMETRO 13.5;17,00;IV;X;1
IV000192;RETÉN 10/9.5;60,00;IV;X;1
IV000193;R. CILINDRICO COMUNES (MM) NU215 - 16501;140,00;IV;X;1
IV000194;R. BOLAS RIGIDOS (MM) 63082RSCM - 13967;181,00;IV;X;1
IV000195;BOTONERA ON-OFF CON FOCO;42,00;IV;X;1
IV000196;RODAMIENTO BOLAS RIGIDOS (MM) - 6208-2RS1-SKF - 22501;36,00;IV;X;1
IV000197;LLAVIN DE ARRANQUE PARA ESCALERA THYSSEN;44,00;IV;X;1
IV000198;CABLE APANTALLADO DE 4 X 2.50 MM2  (METRO);8,00;IV;X;1
IV000199;BASE PARA 11 PINES TIPO DIN CSC-SSS;6,00;IV;X;1
IV000200;RUEDA GUIA CON 2 RODAMIENTOS CON GOMA;51,00;IV;X;1
IV000201;RODAMIENTO. CILINDRICO COMUNES (MM) 75.00X130.00X25.00;312,00;IV;X;1
VS000001;CAMBIO DE BALATA (1);60,00;VS;X;1
VS000002;RESCATE DE LLAVES;10,00;VS;X;1
VS000003;RECTIFICADO DE POLEAS;320,00;VS;X;1
VS000004;REPARACION EJE TRACTOR;391,00;VS;X;1
VS000005;REPARACION POLEA TENSORA;95,00;VS;X;1
VS000006;SERVICIO OVER HALL;120,00;VS;X;1
VS000007;REPARACION VENTILADOR;84,00;VS;X;1
VS000008;CAMBIO CONJUNTO BORNERA;8,00;VS;X;1
VS000009;CAMBIO CONJUNTO DE ESLABONES;11,00;VS;X;1
VS000010;KIT DE RESCATE AUTOMATICO;4650,00;VS;X;1
VS000011;RODAMIENTO UCE210 FBJ EJE TRACCION ESCALERA;26,00;VS;X;1
VS000012;BUJES DE CADENA PARA TENSADO DE PASAMANOS;6,00;VS;X;1
VS000013;TRABAJO DE TORNERIA - CAMBIO DE RETEN DEL SINFÍN DE MOTOR;36,00;VS;X;1
VS000014;RODILLOS PARA CADENA DE PLATAFORMA 40mm (RESINA);205,00;VS;X;1
VS000015;RECTIFICADO DE EJE TIPO BUJE DE POLEA LIMITADOR;58,00;VS;X;1
VS000016;REPARACION DE EJE DE RODAMIENTO;97,00;VS;X;1
VS000017;REBOBINADO DE ELECTROFRENO;35,00;VS;X;1
VS000018;REPARACIÓN DE POLEA DE PASAMANOS;141,00;VS;X;1
VS000019;REPARACION DE RODAMINETOS GEARLESS;196,00;VS;X;1
VS000020;REBOBINADO DEL ESTATOR MOTOR;550,00;VS;X;1
VS000021;RECTIFICADO DE POLEA TRACCION 600-4/11 O-170 (V=40);150,00;VS;X;1
VS000022;SERVICIOS VARIOS;70,00;VS;X;1
VS000023;CONJUNTO SUJECION;4976,00;VS;X;1
VS000024;CAMBIO DEL CONJ. DE RODAMIENTOS DE CADENA DE TRANSMISION;100,00;VS;X;1
VS000025;REPARACION DE MOTOR TRACTOR;681,00;VS;X;1
VS000026;RECTIFICADO DE POLEA DE TRACCIÓN MAQUINA O-170;250,00;VS;X;1
VS000027;PUERTAS MANUALES LUZ 850MM;1049,00;VS;X;1
VS000028;EXTRACTOR Y PROTECTOR PARA CAMILLERO;166,00;VS;X;1
VS000029;ACRÍLICO DE 43 X 3.6CN P/LUZ DE EMERGENCIA BLT;9,00;VS;X;1
VS000030;DISPLAY 7 SEGMENTOS FJ-ESC;10,00;VS;X;1
VS000031;GUIADOR DE CADENA PARA ESCALERA HY;40,00;VS;X;1
VS000032;TRABAJOS ESPECIALES;10,00;VS;X;1
VS000033;REPARACION Y CAMBIO DE ENGRANAJE DE MOTOR DE TRACCION;226,00;VS;X;1
VS000034;CAMBIO DE RODAMIENTO Y RECTIFICADO DE MOTOR ESCALERA;729,00;VS;X;1
VS000035;REBOBINADO DE ELECTROIMAN;175,00;VS;X;1
VS000036;REBOBINADO DE MOTOR ESCALERA MECANICA;375,00;VS;X;1
VS000037;CROMADO DE PASAMANOS;70,00;VS;X;1
VS000038;TRABAJO DE TORNERIA (SINFIN DE MOTOR);115,00;VS;X;1
VS000039;PULIDO PANEL INOX M2;161,00;VS;X;1
VS000040;REBOBINADO DE TRANSFORMADOR C/MANIOBRA;150,00;VS;X;1
VS000041;REPARACION DE PATIN DE ARRASTRE;25,00;VS;X;1
VS000042;REBOBINADO DE MOTOR OPERADOR DE PUERTA;120,00;VS;X;1
VS000043;TRABAJO DE TORNERIA;777,00;VS;X;1
VS000044;RIEL GUIADOR DE PASAMANOS;95,00;VS;X;1
VS000045;RUEDA DE TEFLON CON RODAMIENTO;13,00;VS;X;1
VS000046;MODIFICACION DE MARCO DE PUERTA;105,00;VS;X;1
VS000047;MODIFICACIÓN DE PUERTA HIDRAL;380,00;VS;X;1
VS000048;MODERNIZACION DE ILUMINACION TECHO CABINA;180,00;VS;X;1
VS000049;SERVICIOS DE INSTALACIÓN DE PLANCHAS PARA MOTOR;175,00;VS;X;1
VS000050;TRABAJO DE TORNERÍA EN MOTOR;343,00;VS;X;1
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
