Guard;Station;ArriveTime;ArriveDate;Incident
10;590;Missing;2017-01-09;Mantenimiento Preventivo
10;591;17:57:53;2017-01-09;Mantenimiento Correctivo/Emergencia
10;273;Missing;2017-01-09;Instrucción de Trabajo
10;117;Missing;2017-01-09;Inspeccion
10;119;Missing;2017-01-09;Otros
10;573;Missing;2017-01-09;Mantenimiento Preventivo
10;574;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;31;Missing;2017-01-09;Instrucción de Trabajo
10;101;Missing;2017-01-09;Inspeccion
10;102;Missing;2017-01-09;Otros
10;432;Missing;2017-01-09;Mantenimiento Preventivo
10;511;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;512;Missing;2017-01-09;Instrucción de Trabajo
10;513;Missing;2017-01-09;Inspeccion
10;265;Missing;2017-01-09;Otros
10;266;Missing;2017-01-09;Mantenimiento Preventivo
10;267;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;408;Missing;2017-01-09;Instrucción de Trabajo
10;109;Missing;2017-01-09;Inspeccion
10;110;Missing;2017-01-09;Otros
10;111;Missing;2017-01-09;Mantenimiento Preventivo
10;409;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;410;Missing;2017-01-09;Instrucción de Trabajo
10;411;Missing;2017-01-09;Inspeccion
10;515;Missing;2017-01-09;Otros
10;530;Missing;2017-01-09;Mantenimiento Preventivo
10;503;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;504;Missing;2017-01-09;Instrucción de Trabajo
10;218;Missing;2017-01-09;Inspeccion
10;259;Missing;2017-01-09;Otros
10;260;18:29:11;2017-01-09;Mantenimiento Preventivo
10;461;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;323;Missing;2017-01-09;Instrucción de Trabajo
10;51;Missing;2017-01-09;Inspeccion
10;52;Missing;2017-01-09;Otros
10;53;Missing;2017-01-09;Mantenimiento Preventivo
10;544;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;545;Missing;2017-01-09;Instrucción de Trabajo
10;546;Missing;2017-01-09;Inspeccion
10;131;Missing;2017-01-09;Otros
10;43;Missing;2017-01-09;Mantenimiento Preventivo
10;464;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;212;Missing;2017-01-09;Instrucción de Trabajo
10;402;Missing;2017-01-11;Inspeccion
10;536;Missing;2017-01-11;Otros
10;381;Missing;2017-01-11;Mantenimiento Preventivo
10;257;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;66;Missing;2017-01-11;Instrucción de Trabajo
10;283;Missing;2017-01-11;Inspeccion
10;1;Missing;2017-01-11;Otros
10;276;Missing;2017-01-11;Mantenimiento Preventivo
10;277;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;278;Missing;2017-01-11;Instrucción de Trabajo
10;279;Missing;2017-01-11;Inspeccion
10;282;Missing;2017-01-11;Otros
10;324;Missing;2017-01-11;Mantenimiento Preventivo
10;325;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;424;Missing;2017-01-11;Instrucción de Trabajo
10;425;Missing;2017-01-11;Inspeccion
10;161;18:42:04;2017-01-11;Otros
10;230;18:42:09;2017-01-11;Mantenimiento Preventivo
10;455;18:42:13;2017-01-11;Mantenimiento Correctivo/Emergencia
10;241;18:42:16;2017-01-11;Instrucción de Trabajo
10;433;18:42:19;2017-01-11;Inspeccion
10;532;18:42:22;2017-01-11;Otros
10;590;18:42:25;2017-01-11;Mantenimiento Preventivo
10;591;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;273;Missing;2017-01-11;Instrucción de Trabajo
10;117;Missing;2017-01-11;Inspeccion
10;119;Missing;2017-01-11;Otros
10;573;Missing;2017-01-11;Mantenimiento Preventivo
10;574;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;31;Missing;2017-01-11;Instrucción de Trabajo
10;101;Missing;2017-01-11;Inspeccion
10;102;Missing;2017-01-11;Otros
10;432;Missing;2017-01-11;Mantenimiento Preventivo
10;511;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;512;Missing;2017-01-11;Instrucción de Trabajo
10;513;Missing;2017-01-11;Inspeccion
10;265;Missing;2017-01-11;Otros
10;266;Missing;2017-01-11;Mantenimiento Preventivo
10;267;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;408;Missing;2017-01-11;Instrucción de Trabajo
10;109;Missing;2017-01-11;Inspeccion
10;110;Missing;2017-01-11;Otros
10;111;Missing;2017-01-11;Mantenimiento Preventivo
10;409;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;410;Missing;2017-01-11;Instrucción de Trabajo
10;411;Missing;2017-01-11;Inspeccion
10;515;Missing;2017-01-11;Otros
10;530;Missing;2017-01-11;Mantenimiento Preventivo
10;503;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;504;Missing;2017-01-11;Instrucción de Trabajo
10;218;Missing;2017-01-11;Inspeccion
10;259;18:49:58;2017-01-11;Otros
10;260;18:50:01;2017-01-11;Mantenimiento Preventivo
10;461;18:50:04;2017-01-11;Mantenimiento Correctivo/Emergencia
10;323;Missing;2017-01-11;Instrucción de Trabajo
10;51;Missing;2017-01-11;Inspeccion
10;52;Missing;2017-01-11;Otros
10;53;Missing;2017-01-11;Mantenimiento Preventivo
10;544;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;545;Missing;2017-01-11;Instrucción de Trabajo
10;546;Missing;2017-01-11;Inspeccion
10;131;Missing;2017-01-11;Otros
10;43;Missing;2017-01-11;Mantenimiento Preventivo
10;464;Missing;2017-01-11;Mantenimiento Correctivo/Emergencia
10;212;Missing;2017-01-11;Instrucción de Trabajo
10;402;Missing;2017-01-11;Inspeccion
10;536;Missing;2017-01-12;Otros
10;381;Missing;2017-01-12;Mantenimiento Preventivo
10;257;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;66;Missing;2017-01-12;Instrucción de Trabajo
10;283;Missing;2017-01-12;Inspeccion
10;1;Missing;2017-01-12;Otros
10;276;Missing;2017-01-12;Mantenimiento Preventivo
10;277;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;278;Missing;2017-01-12;Instrucción de Trabajo
10;279;Missing;2017-01-12;Inspeccion
10;282;Missing;2017-01-12;Otros
10;324;Missing;2017-01-12;Mantenimiento Preventivo
10;325;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;424;Missing;2017-01-12;Instrucción de Trabajo
10;425;Missing;2017-01-12;Inspeccion
10;161;Missing;2017-01-12;Otros
10;230;11:28:09;2017-01-12;Mantenimiento Preventivo
10;455;11:28:13;2017-01-12;Mantenimiento Correctivo/Emergencia
10;241;11:28:16;2017-01-12;Instrucción de Trabajo
10;433;11:28:19;2017-01-12;Inspeccion
10;532;11:28:21;2017-01-12;Otros
10;590;11:28:24;2017-01-12;Mantenimiento Preventivo
10;591;11:28:27;2017-01-12;Mantenimiento Correctivo/Emergencia
10;273;Missing;2017-01-12;Instrucción de Trabajo
10;117;Missing;2017-01-12;Inspeccion
10;119;Missing;2017-01-12;Otros
10;573;Missing;2017-01-12;Mantenimiento Preventivo
10;574;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;31;Missing;2017-01-12;Instrucción de Trabajo
10;101;Missing;2017-01-12;Inspeccion
10;102;Missing;2017-01-12;Otros
10;432;Missing;2017-01-12;Mantenimiento Preventivo
10;511;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;512;Missing;2017-01-12;Instrucción de Trabajo
10;513;Missing;2017-01-12;Inspeccion
10;265;Missing;2017-01-12;Otros
10;266;Missing;2017-01-12;Mantenimiento Preventivo
10;267;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;408;Missing;2017-01-12;Instrucción de Trabajo
10;109;Missing;2017-01-12;Inspeccion
10;110;Missing;2017-01-12;Otros
10;111;Missing;2017-01-12;Mantenimiento Preventivo
10;409;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;410;Missing;2017-01-12;Instrucción de Trabajo
10;411;Missing;2017-01-12;Inspeccion
10;515;Missing;2017-01-12;Otros
10;530;Missing;2017-01-12;Mantenimiento Preventivo
10;503;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;504;Missing;2017-01-12;Instrucción de Trabajo
10;218;Missing;2017-01-12;Inspeccion
10;259;Missing;2017-01-12;Otros
10;260;12:35:58;2017-01-12;Mantenimiento Preventivo
10;461;12:36:01;2017-01-12;Mantenimiento Correctivo/Emergencia
10;323;12:36:03;2017-01-12;Instrucción de Trabajo
10;51;12:36:06;2017-01-12;Inspeccion
10;52;12:36:10;2017-01-12;Otros
10;53;12:36:13;2017-01-12;Mantenimiento Preventivo
10;544;12:36:16;2017-01-12;Mantenimiento Correctivo/Emergencia
10;545;Missing;2017-01-12;Instrucción de Trabajo
10;546;Missing;2017-01-12;Inspeccion
10;131;Missing;2017-01-12;Otros
10;43;Missing;2017-01-12;Mantenimiento Preventivo
10;464;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;212;Missing;2017-01-12;Instrucción de Trabajo
10;402;Missing;2017-01-12;Inspeccion
10;536;Missing;2017-01-12;Otros
10;381;Missing;2017-01-12;Mantenimiento Preventivo
10;257;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;66;Missing;2017-01-12;Instrucción de Trabajo
10;283;Missing;2017-01-12;Inspeccion
10;1;Missing;2017-01-12;Otros
10;276;Missing;2017-01-12;Mantenimiento Preventivo
10;277;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;278;Missing;2017-01-12;Instrucción de Trabajo
10;279;Missing;2017-01-12;Inspeccion
10;282;Missing;2017-01-12;Otros
10;324;Missing;2017-01-12;Mantenimiento Preventivo
10;325;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;424;Missing;2017-01-12;Instrucción de Trabajo
10;425;Missing;2017-01-12;Inspeccion
10;161;Missing;2017-01-12;Otros
10;230;Missing;2017-01-12;Mantenimiento Preventivo
10;455;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;241;Missing;2017-01-12;Instrucción de Trabajo
10;433;Missing;2017-01-12;Inspeccion
10;532;Missing;2017-01-12;Otros
10;590;12:52:52;2017-01-12;Mantenimiento Preventivo
10;591;12:52:55;2017-01-12;Mantenimiento Correctivo/Emergencia
10;273;12:52:58;2017-01-12;Instrucción de Trabajo
10;117;12:53:01;2017-01-12;Inspeccion
10;119;12:53:04;2017-01-12;Otros
10;573;12:53:07;2017-01-12;Mantenimiento Preventivo
10;574;12:53:11;2017-01-12;Mantenimiento Correctivo/Emergencia
10;31;Missing;2017-01-12;Instrucción de Trabajo
10;101;Missing;2017-01-12;Inspeccion
10;102;Missing;2017-01-12;Otros
10;432;Missing;2017-01-12;Mantenimiento Preventivo
10;511;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;512;Missing;2017-01-12;Instrucción de Trabajo
10;513;Missing;2017-01-12;Inspeccion
10;265;Missing;2017-01-12;Otros
10;266;Missing;2017-01-12;Mantenimiento Preventivo
10;267;Missing;2017-01-12;Mantenimiento Correctivo/Emergencia
10;408;Missing;2017-01-12;Instrucción de Trabajo
10;109;Missing;2017-01-12;Inspeccion
10;110;Missing;2017-01-13;Otros
10;111;Missing;2017-01-13;Mantenimiento Preventivo
10;409;Missing;2017-01-13;Mantenimiento Correctivo/Emergencia
10;410;Missing;2017-01-13;Instrucción de Trabajo
10;411;Missing;2017-01-13;Inspeccion
10;515;Missing;2017-01-13;Otros
10;530;Missing;2017-01-13;Mantenimiento Preventivo
10;503;Missing;2017-01-13;Mantenimiento Correctivo/Emergencia
10;504;Missing;2017-01-13;Instrucción de Trabajo
10;218;Missing;2017-01-13;Inspeccion
10;259;Missing;2017-01-13;Otros
10;260;Missing;2017-01-13;Mantenimiento Preventivo
10;461;Missing;2017-01-13;Mantenimiento Correctivo/Emergencia
10;323;Missing;2017-01-13;Instrucción de Trabajo
10;51;Missing;2017-01-13;Inspeccion
10;52;Missing;2017-01-13;Otros
10;53;17:56:12;2017-01-13;Mantenimiento Preventivo
10;544;17:56:15;2017-01-13;Mantenimiento Correctivo/Emergencia
10;545;17:56:22;2017-01-13;Instrucción de Trabajo
10;546;17:56:25;2017-01-13;Inspeccion
10;131;17:56:28;2017-01-13;Otros
10;43;17:56:31;2017-01-13;Mantenimiento Preventivo
10;464;Missing;2017-01-13;Mantenimiento Correctivo/Emergencia
10;212;Missing;2017-01-13;Instrucción de Trabajo
10;402;Missing;2017-01-13;Inspeccion
10;536;Missing;2017-01-13;Otros
10;381;Missing;2017-01-13;Mantenimiento Preventivo
10;257;Missing;2017-01-13;Mantenimiento Correctivo/Emergencia
10;66;Missing;2017-01-13;Instrucción de Trabajo
10;283;Missing;2017-01-13;Inspeccion
10;1;Missing;2017-01-13;Otros
10;276;Missing;2017-01-13;Mantenimiento Preventivo
10;277;Missing;2017-01-13;Mantenimiento Correctivo/Emergencia
10;278;Missing;2017-01-13;Instrucción de Trabajo
10;279;Missing;2017-01-14;Inspeccion
10;282;Missing;2017-01-14;Otros
10;324;Missing;2017-01-14;Mantenimiento Preventivo
10;325;Missing;2017-01-14;Mantenimiento Correctivo/Emergencia
10;424;Missing;2017-01-14;Instrucción de Trabajo
10;425;Missing;2017-01-14;Inspeccion
10;161;Missing;2017-01-14;Otros
10;230;Missing;2017-01-14;Mantenimiento Preventivo
10;455;Missing;2017-01-14;Mantenimiento Correctivo/Emergencia
10;241;Missing;2017-01-14;Instrucción de Trabajo
10;433;Missing;2017-01-14;Inspeccion
10;532;08:59:05;2017-01-14;Otros
10;590;Missing;2017-01-14;Mantenimiento Preventivo
10;591;Missing;2017-01-14;Mantenimiento Correctivo/Emergencia
10;273;Missing;2017-01-14;Instrucción de Trabajo
10;117;Missing;2017-01-14;Inspeccion
10;119;Missing;2017-01-14;Otros
10;573;Missing;2017-01-14;Mantenimiento Preventivo
10;574;Missing;2017-01-14;Mantenimiento Correctivo/Emergencia
10;31;Missing;2017-01-14;Instrucción de Trabajo
10;101;Missing;2017-01-14;Inspeccion
10;102;Missing;2017-01-14;Otros
10;432;Missing;2017-01-14;Mantenimiento Preventivo
10;511;Missing;2017-01-14;Mantenimiento Correctivo/Emergencia
10;512;Missing;2017-01-14;Instrucción de Trabajo
10;513;Missing;2017-01-14;Inspeccion
10;265;Missing;2017-01-14;Otros
