CodCoti;Callcenter;Observacion_Evento
7104;30857;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2086
7097;30829;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2087
7095;30828;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2088
7093;30824;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2089
7089;30785;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2090
7082;30780;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2091
7076;30479;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2092
7074;30632;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2093
7061;30737;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2094
7055;30701;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2095
7031;30593;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2096
7030;30616;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2097
7029;30617;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2098
7026;30615;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2099
7021;30599;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2100
7019;30590;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2101
7002;30539;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2102
7001;30545;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2103
7000;30546;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2104
6994;30488;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2105
6993;30451;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2106
6992;30462;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2107
6989;30446;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2108
6988;30443;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2109
6986;30416;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2110
6984;30418;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2111
6982;30390;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2112
6981;30520;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2113
6979;30538;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2114
6942;30441;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2115
6934;30358;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2116
6933;30341;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2117
6932;30344;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2118
6931;30336;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2119
6930;30337;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2120
6928;30338;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2121
6926;30347;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2122
6906;30333;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2123
6904;30313;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2124
6899;30309;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2125
6896;30292;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2126
6894;30249;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2127
6891;30229;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2128
6880;30305;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2129
6876;30298;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2130
6873;30207;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2131
6872;30264;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2132
6871;30281;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2133
6868;30283;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2134
6853;30174;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2135
6848;30186;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2136
6838;30203;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2137
6836;30202;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2138
6829;30081;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2139
6828;30080;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2140
6822;30132;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2141
6820;30130;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2142
6819;30129;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2143
6818;30142;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2144
6816;30144;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2145
6815;30153;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2146
6810;30141;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2147
6800;30103;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2148
6799;30076;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2149
6797;30112;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2150
6795;30093;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2151
6792;30097;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2152
6784;30041;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2153
6779;30018;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2154
6778;30017;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2155
6777;30011;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2156
6776;29139;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2157
