codigo;Chasis;CLICODIGO_SIMEC;monedaprevision_simec
379;72310;1ML00410;2
380;72311;1ML00411;2
318;57473;1ML00766;2
59;14763;1ML00407;2
60;14764;1ML00408;2
558;EH-25016;1ML00409;2
583;26539;1ML00415;2
626;28194;1ML00416;2
69;15355;1ML00417;2
70;15356;1ML00418;2
911;49479;1ML00421;2
914;EH-27600;1ML00422;2
1045;57809;1ML00708;2
748;40242;1ML00423;2
1186;65830;1ML00808;2
1024;55731;1ML00768;2
1025;55732;1ML00769;2
797;43460;1ML00424;2
280;43930;1ML00425;2
792;41875;1ML00426;2
793;41876;1ML00427;2
649;31681;1ML00428;2
3;1020;1ML00429;2
4;1021;1ML00430;2
5;1022;1ML00431;2
6;1023;1ML00432;2
73;16046;1ML00433;2
319;57474;1ML00434;2
495;91599;1ML00435;2
496;91600;1ML00436;2
405;7693;1ML00437;2
677;34988;1ML00438;2
679;35003;1ML00440;2
680;35004;1ML00441;2
681;35002;1ML00439;2
878;47364;1ML00442;2
1155;63791;1ML00816;2
1157;64034;1ML00747;2
1082;59868;1ML00739;2
749;40292;1ML00443;2
616;32074;1ML00446;2
965;31165;1ML00447;2
343;63239;1ML00448;2
930;50962;1ML00748;2
923;50291;1ML00450;2
63;15282;1ML00451;2
1235;71114;1ML00828;2
88;17300;1ML00457;2
232;35934;1ML00453;2
18;12281;1ML00459;2
1129;62917;1ML00740;2
139;21452;1ML00455;2
656;32441;1ML00454;2
1130;52125;1ML00709;2
1102;61685;1ML00836;2
939;51411;1ML00456;2
1205;67031;1ML00876;2
243;40670;1ML00460;2
13;10800;1ML00461;2
988;EH-23567;1ML00462;2
516;93583;1ML00463;2
738;38392;1ML00474;2
984;53541;1ML00723;2
584;27179;1ML00719;2
579;26535;1ML00464;2
200;25385;1ML00465;2
342;63852;1ML00466;2
544;95256;1ML00467;2
926;32384;1ML00468;2
480;89562;1ML00469;2
481;89563;1ML00470;2
811;43903;1ML00691;2
1093;58746;1ML00841;2
1019;55327;1ML00755;2
241;40557;1ML00471;2
705;37400;1ML00472;2
11;10734;1ML00475;2
12;10735;1ML00476;2
1097;EH-27627;1ML00698;2
336;62147;1ML00477;2
692;36573;1ML00478;2
198;24804;1ML00479;2
129;2102;1ML00480;2
775;41124;1ML00481;2
776;41125;1ML00482;2
206;25755;1ML00483;2
1095;61247;1ML00692;2
953;52685;1ML00696;2
954;52686;1ML00754;2
231;35922;1ML00484;2
473;87874;1ML00485;2
365;69423;1ML00486;2
1001;54912;1ML00710;2
1002;54911;1ML00711;2
1116;62695;1ML00770;2
25;12693;1ML00487;2
940;51460;1ML00793;1
533;94951;1ML00489;2
534;94952;1ML00490;2
108;1912;1ML00690;2
499;91637;1ML00491;2
770;40353;1ML00492;2
981;52881;1ML00697;2
922;50250;1ML00725;2
784;41563;1ML00493;2
1012;MH-16686;1ML00811;2
456;83452;1ML00494;2
163;2382;1ML00414;2
161;2380;1ML00412;2
162;2381;1ML00413;2
915;46918;1ML00495;2
355;67551;1ML00496;2
110;19464;1ML00497;2
289;50489;1ML00498;2
1146;63399;1ML00724;2
8;1027;1ML00499;2
9;1028;1ML00500;2
189;24088;1ML00501;2
822;44276;1ML00502;2
1096;EH-28153;1ML00699;2
440;7959;1ML00503;2
131;21048;1ML00504;2
132;21049;1ML00505;2
111;19465;1ML00796;1
112;19466;1ML00506;2
859;44475;1ML00507;2
483;90246;1ML00509;2
484;90247;1ML00510;2
617;7743;1ML00527;2
171;24014;1ML00511;2
175;24018;1ML00515;2
174;24017;1ML00514;2
182;24025;1ML00522;2
183;24026;1ML00523;2
841;45498;1ML00728;1
842;45496;1ML00729;2
843;45499;1ML00730;2
845;45497;1ML00731;2
846;45500;1ML00732;2
844;45494;1ML00733;2
847;45495;1ML00734;2
848;45501;1ML00735;2
957;52148;1ML00845;2
958;52147;1ML00844;2
956;52149;1ML00846;2
959;52145;1ML00842;2
1042;57193;1ML00847;2
1071;59035;1ML00856;2
1073;59032;1ML00854;2
1182;59034;1ML00855;2
684;46435;1ML00877;2
1180;64722;1ML00863;2
1174;64724;1ML00864;2
685;46434;1ML00878;2
1169;64727;1ML00865;2
1171;64712;1ML00862;2
1172;64711;1ML00861;2
1245;64728;1ML00866;2
1079;59338;1ML00859;2
1080;59337;1ML00858;2
955;52146;1ML00843;2
1078;59336;1ML00857;2
1043;59344;1ML00860;2
179;24022;1ML00519;2
180;24023;1ML00520;2
181;24024;1ML00521;2
178;24021;1ML00518;2
184;24027;1ML00524;2
185;24028;1ML00525;2
176;24019;1ML00516;2
177;24020;1ML00517;2
186;24029;1ML00526;2
172;24015;1ML00512;2
173;24016;1ML00513;2
1054;58705;1ML00848;2
1055;58706;1ML00849;2
1056;58707;1ML00850;2
1057;58708;1ML00851;2
1058;58709;1ML00852;2
1059;58710;1ML00853;2
119;19921;1ML00026;2
607;29764;1ML00532;2
608;29763;1ML00531;2
609;29765;1ML00533;2
629;29761;1ML00529;2
630;29762;1ML00530;2
418;7927;1ML00535;2
970;52720;1ML00693;2
655;32354;1ML00537;2
454;83392;1ML00539;2
455;83393;1ML00540;2
545;95285;1ML00123;2
546;95286;1ML00124;2
645;BOL12050398;1ML00541;2
646;BOL120503981;1ML00541;2
159;23686;1ML00680;2
349;65851;1ML00543;2
350;65852;1ML00544;2
586;27320;1ML00545;2
587;27321;1ML00546;2
588;27322;1ML00547;2
67;15293;1ML00584;2
68;15294;1ML00585;2
653;21372;1ML00548;2
1075;59233;1ML00809;2
1076;59234;1ML00797;2
1114;62459;1ML00749;2
837;45444;1ML00549;2
838;45445;1ML00550;2
631;27276;1ML00551;2
120;19969;1ML00552;2
32;13422;1ML00553;2
33;13423;1ML00554;2
210;2885;1ML00555;2
211;2886;1ML00556;2
212;2887;1ML00557;2
213;2888;1ML00558;2
214;2889;1ML00559;2
790;41871;1ML00694;2
100;18980;1ML00560;2
101;18981;1ML00561;2
862;46894;1ML00141;2
