CodCoti;Callcenter;Observacion_Evento
6289;29049;Cierre
6288;29048;Cierre
6286;29029;Cierre
6285;29030;Cierre
6278;29004;Cierre
6275;28920;Cierre
6274;28921;Cierre
6272;28916;Cierre
6271;28900;Cierre
6270;28854;Cierre
6269;28853;Cierre
6267;28823;Cierre
6266;28907;Cierre
6265;28874;Cierre
6264;28865;Cierre
6261;28833;Cierre
6260;28834;Cierre
6259;28827;Cierre
6258;28824;Cierre
6256;28820;Cierre
6255;28769;Cierre
6254;28830;Cierre
6253;28810;Cierre
6250;28781;Cierre
6249;28603;Cierre
6248;28749;Cierre
6247;28751;Cierre
6246;28738;Cierre
6245;28930;Cierre
6244;29082;Cierre
6239;29014;Cierre
6229;28472;Cierre
6228;28471;Cierre
6227;28708;Cierre
6226;28615;Cierre
6225;28613;Cierre
6224;28617;Cierre
6223;28618;Cierre
6220;28633;Cierre
6216;28602;Cierre
6215;28592;Cierre
6213;28580;Cierre
6212;28547;Cierre
6211;28518;Cierre
6210;28519;Cierre
6209;28520;Cierre
6208;28521;Cierre
6205;28487;Cierre
6204;28469;Cierre
6203;28476;Cierre
6202;28488;Cierre
6201;28489;Cierre
6200;28612;Cierre
6199;28608;Cierre
6198;28479;Cierre
6195;28454;Cierre
6194;28446;Cierre
6192;28358;Cierre
6187;29039;Cierre
6178;28623;Cierre
6169;28983;Cierre
6166;29013;Cierre
6164;28923;Cierre
6163;28924;Cierre
6162;29011;Cierre
6160;28994;Cierre
6157;28931;Cierre
6150;28739;Cierre
6149;28691;Cierre
6146;28705;Cierre
6145;28740;Cierre
6143;28744;Cierre
6142;28849;Cierre
6140;28848;Cierre
6139;28847;Cierre
6137;28846;Cierre
6136;28850;Cierre
6127;28344;Cierre
6126;28343;Cierre
6125;28356;Cierre
6124;28783;Cierre
6115;28811;Cierre
6113;28757;Cierre
6109;28860;Cierre
6092;28836;Cierre
6088;28576;Cierre
6087;28828;Cierre
6079;28733;Cierre
6078;28734;Cierre
6077;28714;Cierre
6074;27719;Cierre
6064;28562;Cierre
6052;28685;Cierre
6051;28686;Cierre
6050;28687;Cierre
6041;28638;Cierre
6040;28630;Cierre
6039;28629;Cierre
6024;28516;Cierre
6022;28524;Cierre
6017;28552;Cierre
6016;28575;Cierre
6015;28551;Cierre
6014;28484;Cierre
6013;28559;Cierre
6012;28560;Cierre
6010;28579;Cierre
6009;28599;Cierre
6006;28600;Cierre
6005;28588;Cierre
6003;28585;Cierre
6002;28586;Cierre
6001;28584;Cierre
6000;28596;Cierre
5999;28597;Cierre
5997;28598;Cierre
5978;28510;Cierre
5960;28514;Cierre
5958;28512;Cierre
5949;28437;Cierre
5948;28436;Cierre
5945;28441;Cierre
5936;28423;Cierre
5935;28434;Cierre
5932;28453;Cierre
5930;28445;Cierre
5928;28428;Cierre
5924;28430;Cierre
5919;28427;Cierre
5912;28379;Cierre
5908;28333;Cierre
5907;28332;Cierre
5906;28336;Cierre
5899;28306;Cierre
5898;28304;Cierre
5897;28282;Cierre
5896;28256;Cierre
