codigo;Chasis;monedaprevision_simec;NUEVO CODIGO SIMEC;NOMBRE EN SIMEC
173;23136;2;2MC00191;CLINICA_METROPOLITANA_23136
895;35551;2;2MC00193;CLINICA_MORALES_35551
1148;51437;2;2MC00194;CLINICA_SAAVEDRA_51437
1491;67850;2;2MC01180;CLIN_SAN_JUAN_DE_DIOS_67850
474;67281;2;2MC00190;CLINICA_MARIA_DE_LOS_ANGELES_67281
473;67280;2;2MC00189;CLINICA_MARIA_DE_LOS_ANGELES_67280
825;25018;2;2MC00195;CNS_25018
826;25019;2;2MC00196;CNS_25019
1132;50558;2;2MC00198;CODACAR_50558
867;33799;2;2MC00199;CODENSA_33799
511;72308;2;2MC00200;COL_ADVENTISTA_CBBA_72308
312;41758;2;2MC00201;COLIBRI_41758
842;31614;2;2MC00202;COLIBRI_LINCOLN_31614
1314;58554;2;2MC01050;VILLA_OLIMPICA_B_COBAS_58554
1326;58555;2;2MC01055;VILLA_OLIMPICA_II_B_COBAS_58555
827;DHT-130551T;2;2MC00203;COLOMBO_1_DHT_130551T
907;DHT-130551T (3);2;2MC00205;COLOMBO_3_DHT_130551T
852;DHT-130551T (2);2;2MC00204;COLOMBO_2_DHT_30551T
868;32472;2;2MC00206;COLON_32472
87;17371;2;2MC00208;COMP_HABIT_LAS_TORRES_17371
88;17372;2;2MC00209;COMP_HABIT_LAS_TORRES_17372
89;17373;2;2MC00210;COMP_HABIT_LAS_TORRES_17373
1383;60826;2;2MC01125;COMP_HOT_VILLA_OLIMPICA_SEC2.1_60826
1384;60827;2;2MC01126;COMP_HOT_VILLA_OLIMPICA_SEC2.1_60827
1366;60563;2;2MC01093;COMP_HOT_VILLA_OLIMPICA_SEC2.1_60563
1367;60562;2;2MC01127;COMP_HOT_VILLA_OLIMPICA_SEC2.1_60562
1368;60561;2;2MC01129;COMP_HOT_VILLA_OLIMPICA_SEC2.1_60561
1369;60560;2;2MC01128;COMP_HOT_VILLA_OLIMPICA_SEC2.1_60560
333;4529;2;2MC00211;COMPOSTELA_4529
272;35930;2;2MC00212;COMTECO_A_35930
273;35931;2;2MC00213;COMTECO_B_35931
300;40609;2;2MC00214;COMTECO_C_40609
194;25921;2;2MC00216;CONCEJO_MPAL_DE_SACABA_25921
847;25922;2;2MC00215;CONCEJO_MPAL_DE_SACABA_25922
1358;60023;2;2MC01088;CONCORDIA_60023
965;40344;2;2MC01107;COND_ALAMEDA_40344
964;40345;2;2MC01108;COND_ALAMEDA_40345
963;40349;2;2MC00217;COND_ALAMEDA_40349
962;40350;2;2MC00218;COND_ALAMEDA_40350
966;40351;2;2MC00219;COND_ALAMEDA_40351
866;33268;2;2MC00220;COND_EL_CARMEN_33268
148;21839;2;2MC00221;COND_GARDENIAS_A_21839
149;21840;2;2MC00222;COND_GARDENIAS_B_21840
1078;45665;2;2MC00223;COND_LIBERTADOR_45665
1079;45666;2;2MC00224;COND_LIBERTADOR_45666
1080;45667;2;2MC00225;COND_LIBERTADOR_TORRE_IIB_45667
1081;45668;2;2MC00226;COND_LIBERTADOR_TORRE_IIA_45668
662;87474;2;2MC00227;COND_LINCOLN_A_87474
663;87475;2;2MC00228;COND_LINCOLN_B_87475
618;83545;2;2MC00229;COND_LOS_OLIVOS_83545
517;73632;2;2MC00230;COND_PEREZ_73632
367;5341;2;2MC00231;COND_PEREZ_TORREII_5341
1155;51439;2;2MC00232;COND_TAMESIS_A_51439
1156;51438;2;2MC00233;COND_TAMESIS_B_51438
125;20052;2;2MC00234;COND_VILLA_ALCALA_A_20052
126;20053;2;2MC00235;COND_VILLA_ALCALA_B_20053
317;42108;2;2MC00236;CONFORT_A_42108
318;42109;2;2MC00237;CONFORT_B_42109
358;5303;2;2MC00238;CONSESO_DPTO_5303
464;6633;2;2MC00239;CONSESO_OFICINAS_6633
163;22693;2;2MC00240;CONSTANTINO_I_22693
974;41159;2;2MC00241;CONSTANTINO_III_41159
1378;60796;2;2MC01130;CONSTANTINO_IV_60796
450;65177;2;2MC00242;CONSTANZA_65177
875;34082;2;2MC00244;CONSTITUCION_34082
876;34081;2;2MC00243;CONSTITUCION_34081
718;91605;2;2MC00245;CONSTITUCION_A_91605
719;91606;2;2MC00246;CONSTITUCION_B_91606
261;35649;2;2MC00248;CONTINENTAL_A_35649
262;35650;2;2MC00249;CONTINENTAL_B_35650
529;74731;2;2MC00254;COOP_SAN_JOAQUIN_74731
482;6806;2;2MC00251;COOP_JESUS_NAZARENO_06806
